#,Episode,Player A,Player B,First,Left Deck,Link,Right Deck,Link,Game 1,Game 2,Game 3,Game 4,Game 5,,
45,https://youtu.be/4RWEWSxHlzo,Nelson Salahub,Benjamin Wheeler,B,Grull Monsters,https://moxfield.com/decks/dkUsnssnrkWi0wT4sTjW3Q,Thoracle Lands,https://moxfield.com/decks/vTn5ttf0RUSuV0X9dIczgw,Benjamin Wheeler,Nelson Salahub,Benjamin Wheeler,Nelson Salahub,Benjamin Wheeler,,
46,https://youtu.be/x6-lqPfqJaU,Nelson Salahub,Serge Jager,B,Reanimator,https://moxfield.com/decks/SzvgVkBmQEuXjeEsOBH35w,Nayablade,https://moxfield.com/decks/zcYz-1n83E-ufLMHDeQ9EQ,Nelson Salahub,Serge Jager,Serge Jager,,,,
47,https://youtu.be/QBfFDNMUATQ,Nelson Salahub,Serge Jager,A,Auntie Aagatha,https://moxfield.com/decks/8ET59p7Fc0ewN_8zXwLoZw,Nayablade,https://moxfield.com/decks/zcYz-1n83E-ufLMHDeQ9EQ,Serge Jager,Nelson Salahub,Serge Jager,,,,
48,https://youtu.be/HXf9aVXJ-4w,Nelson Salahub,Serge Jager,A,Reanimator,https://moxfield.com/decks/SzvgVkBmQEuXjeEsOBH35w,Zombies,https://moxfield.com/decks/RwEBe4oTkU21JvXuXPGeLQ,Serge Jager,Nelson Salahub,Serge Jager,,,,
49,https://youtu.be/lwLS8uxHFEA,Nelson Salahub,Benjamin Wheeler,A,4c Omnitiative ,https://moxfield.com/decks/dj7J7NjZjU2bDl4uxLv2uQ,4c Time Vault,https://moxfield.com/decks/Pf9YeS4bQEK7wzEpJGHJlg,Benjamin Wheeler,Nelson Salahub,Benjamin Wheeler,Benjamin Wheeler,,,
50,https://youtu.be/KmgTbZEwkmY,Benjamin Wheeler,Serge Jager,B,Landfall Aggro,https://moxfield.com/decks/0pvOp8ixeEKfWxE52SQDGA,Sanctum Stompy,https://moxfield.com/decks/otnamrUFCkaNQivMkUvfIQ,Benjamin Wheeler,Benjamin Wheeler,Benjamin Wheeler,,,,
51,https://youtu.be/03yh22_aBDo,Benjamin Wheeler,Nelson Salahub,A,Nadu Breakfast ,https://moxfield.com/decks/Ht_BQ6Mp8EOlxA08-ps-pA,4c Strip Mine,https://moxfield.com/decks/UIwfEKAXMkWjv00yXpf3Tg,Benjamin Wheeler,Nelson Salahub,Benjamin Wheeler,,,,
52,https://youtu.be/hwQWQQDff2g,Serge Jager,Nelson Salahub,A,Sanctum Stompy,https://moxfield.com/decks/0pvOp8ixeEKfWxE52SQDGA,4c Strip Mine,https://moxfield.com/decks/UIwfEKAXMkWjv00yXpf3Tg,Nelson Salahub,Nelson Salahub,,,,,
53,https://youtu.be/nv7DWwvxctg,Benjamin Wheeler,Serge Jager,B,Flying Men,https://moxfield.com/decks/03nwbMiw_kuVPrfHsrpAyQ,Food Fight,https://moxfield.com/decks/AtYBdDnzSUOR5Gfz82-SfQ,Benjamin Wheeler,Benjamin Wheeler,Serge Jager,Benjamin Wheeler,,,
54,https://youtu.be/bo40y8XdXTc,Nelson Salahub,Serge Jager,B,Esper Robots,https://moxfield.com/decks/FD8W7PJTEEeuixnPNYJKvA,Food Fight,https://moxfield.com/decks/AtYBdDnzSUOR5Gfz82-SfQ,Nelson Salahub,Serge Jager,Nelson Salahub,,,,
55,https://youtu.be/myJWjBeqRbs,Ben Ulmer,Serge Jager,A,Mardu Initiative,https://moxfield.com/decks/egSB0pjHsUWIrDGeYgsY6Q,Abzan Nightmare,https://moxfield.com/decks/RSHOFcCEj0Oxdx6Xpujd6Q,Ben Ulmer,Serge Jager,Serge Jager,,,,
56,https://youtu.be/jWuqQSWJVEk,Ben Ulmer,Nelson Salahub,A,Mardu Initiative,https://moxfield.com/decks/egSB0pjHsUWIrDGeYgsY6Q,Grixis Teletubbies,https://moxfield.com/decks/m3pOwLMwXEGVXrOYptQA0Q,Nelson Salahub,Ben Ulmer,Nelson Salahub,,,,
57,https://youtu.be/TG3AWfwhJLk,Nelson Salahub,Serge Jager,A,Grixis Teletubbies,https://moxfield.com/decks/m3pOwLMwXEGVXrOYptQA0Q,Abzan Nightmare,https://moxfield.com/decks/RSHOFcCEj0Oxdx6Xpujd6Q,Nelson Salahub,Serge Jager,Serge Jager,,,,
58,https://youtu.be/i1CQxVUKrHE,Benjamin Wheeler,Serge Jager,A,Esper Thoracle,https://moxfield.com/decks/A_KZE24sMkOm6WzEWDZE9w,Enchantress Control,https://moxfield.com/decks/wy0adQjVPEiCSISModqQjA,Benjamin Wheeler,Serge Jager,Benjamin Wheeler,,,,
59,https://youtu.be/B5lOEe_Njoo,Benjamin Wheeler,Serge Jager,A,Czech Pile,https://moxfield.com/decks/KmCekqbTuUS184Qde-pZCg,Jund Midrange,https://moxfield.com/decks/CZWV3EEookKUMUnxNauEjw,Benjamin Wheeler,Benjamin Wheeler,Serge Jager,Benjamin Wheeler,,,
60,https://youtu.be/o0oQef3JvYA,Benjamin Wheeler,Nelson Salahub,A,Czech Pile,https://moxfield.com/decks/KmCekqbTuUS184Qde-pZCg,4c SeekerWalk,https://moxfield.com/decks/AsqwAkTifUC09nJikVwV2Q,Nelson Salahub,Benjamin Wheeler,Benjamin Wheeler,,,,
61,https://youtu.be/Qa2MHEKfIfk,Benjamin Wheeler,Serge Jager,B,Golgari Elves,https://moxfield.com/decks/z9SuCxQRk0W46YIK-I94DA,Enchantress Control,https://moxfield.com/decks/wy0adQjVPEiCSISModqQjA,Benjamin Wheeler,Benjamin Wheeler,,,,,
62,https://youtu.be/DQuGF4AI-K8,Benjamin Wheeler,Serge Jager,B,Esper Thoracle,https://moxfield.com/decks/A_KZE24sMkOm6WzEWDZE9w,UB Tempo,https://moxfield.com/decks/D_rUoWOgoU2jwVYp8qlTyw,Serge Jager,Serge Jager,Benjamin Wheeler,Serge Jager,,,x
63,https://youtu.be/VhCQ_x6yFa4,Benjamin Wheeler,Serge Jager,A,Golgari Elves,https://moxfield.com/decks/z9SuCxQRk0W46YIK-I94DA,Dimir Tempo,https://moxfield.com/decks/D_rUoWOgoU2jwVYp8qlTyw,Benjamin Wheeler,Serge Jager,Benjamin Wheeler,Serge Jager,Benjamin Wheeler,,
64,https://youtu.be/N8kkw9272zU,Ben Ulmer,Serge Jager,B,Jeskai Tokens,https://moxfield.com/decks/6gNLMMkH80OQS-M-pw-2qw,Food Combo,https://moxfield.com/decks/39VlTFQNPUKjgjPk0hBHEQ,Ben Ulmer,Ben Ulmer,Ben Ulmer,,,,
65,https://youtu.be/MU2KB42J3HE,Nelson Salahub,Serge Jager,A,Channel Eldrazi,https://moxfield.com/decks/M7j2LzTE80-KUDkqOnQTpQ,Food Combo,https://moxfield.com/decks/39VlTFQNPUKjgjPk0hBHEQ,Nelson Salahub,Nelson Salahub,,,,,
66,https://youtu.be/YqNp1kyKlC0,Ben Ulmer,Benjamin Wheeler,A,Grixis White,https://moxfield.com/decks/3TgMY7m3f0q0tN8rw2tBnw,4c Nadu,https://moxfield.com/decks/at0YzJ3-IEabZsPHSbk5Rw,Benjamin Wheeler,Ben Ulmer,Benjamin Wheeler,,,,
67,https://youtu.be/W7fFEGT9HQw,Ben Ulmer,Benjamin Wheeler,A,Grixis White,https://moxfield.com/decks/3TgMY7m3f0q0tN8rw2tBnw,Turbo Citadel,https://moxfield.com/decks/uYefsAiKP0O2MnUrzBSNBw,Ben Ulmer,Benjamin Wheeler,Benjamin Wheeler,,,,
68,https://youtu.be/QhBch-kgxpQ,Benjamin Wheeler,Serge Jager,B,Czech Shift Turns,https://moxfield.com/decks/rgBXhjr73EW7oGeOdRHMew,Punishing Medium Red,https://moxfield.com/decks/hVSfiV3izE6nj2WE71M1nQ,Serge Jager,Benjamin Wheeler,Benjamin Wheeler,,,,
69,https://youtu.be/fro0vNOk5Dc,Benjamin Wheeler,Serge Jager,A,Orzhov Ruin Your Evening,https://moxfield.com/decks/53Beg8glykKiVpzzhSv95Q,Punishing Medium Red,https://moxfield.com/decks/hVSfiV3izE6nj2WE71M1nQ,Benjamin Wheeler,Benjamin Wheeler,Serge Jager,Benjamin Wheeler,,,
70,https://youtu.be/z7SYAZmSPn8,Benjamin Wheeler,Nelson Salahub,B,Orzhov Ruin Your Evening,https://moxfield.com/decks/53Beg8glykKiVpzzhSv95Q,Izzet Tempo,https://moxfield.com/decks/p4We-aPJQkGGbGwwrRas-Q,Nelson Salahub,Nelson Salahub,Nelson Salahub,,,,x
71,https://youtu.be/xuWn2GFA0jA,Ashlizzle,Serge Jager,A,Rakdos Midrange,https://moxfield.com/decks/D89GGGQWDEKwWD-HAw8jZQ,Dimir Tempo,https://moxfield.com/decks/D_rUoWOgoU2jwVYp8qlTyw,Ashlizzle,Ashlizzle,Serge Jager,,,,
72,https://youtu.be/KbvS7f_Q8ko,Rachel Weeks,Benjamin Wheeler,A,Sultai Seekerwalk,https://archidekt.com/decks/11438974,Jeskai Midrange,https://moxfield.com/decks/_RpdjEf_LUmp-f76oqstRw,Benjamin Wheeler,Benjamin Wheeler,,,,,
73,https://youtu.be/v10xLpgk3w8,Rachel Weeks,Serge Jager,B,Sultai Seekerwalk,https://archidekt.com/decks/11438974,Dimir Tempo,https://moxfield.com/decks/D_rUoWOgoU2jwVYp8qlTyw,Rachel Weeks,Rachel Weeks,Serge Jager,,,,
74,https://youtu.be/00EXBVinG88,Ashlizzle,Benjamin Wheeler,B,Rakdos Midrange,https://moxfield.com/decks/D89GGGQWDEKwWD-HAw8jZQ,Jeskai Midrange,https://moxfield.com/decks/_RpdjEf_LUmp-f76oqstRw,Ashlizzle,Benjamin Wheeler,Ashlizzle,,,,
75,https://youtu.be/i91SbaWHajI,Nelson Salahub,Serge Jager,B,Esper Midrange,https://moxfield.com/decks/Vf1ROCFY7kC2y3XIkgyTbA,Mardu Initiative,https://moxfield.com/decks/Dh84ETkn50GRRtVcuM66jQ,Nelson Salahub,Nelson Salahub,,,,,
76,https://youtu.be/44c-yga6_tU,Alex (Spike Feeders),Serge Jager,B,Jeskai Tokens,https://moxfield.com/decks/4-XCbKfUnEGx7LrgjOL0Bw,Mardu Initiative,https://moxfield.com/decks/Dh84ETkn50GRRtVcuM66jQ,Serge Jager,Alex (Spike Feeders),Alex (Spike Feeders),,,,
77,https://youtu.be/u84q4G6sLyE,Benjamin Wheeler,Nelson Salahub,A,Dimir OmniTell,https://moxfield.com/decks/a1bzthno7kmSYPVPd9oxFw,Esper Midrange,https://moxfield.com/decks/Vf1ROCFY7kC2y3XIkgyTbA,Benjamin Wheeler,Nelson Salahub,Benjamin Wheeler,,,,
78,https://youtu.be/2w3nvtF6mmI,Benjamin Wheeler,Aaron (Spike Feeders),A,Flash Rector,https://moxfield.com/decks/66TahB-b8EiI4_nlaOG8jw,Paradox Academy,https://moxfield.com/decks/5Rz7GWjSvkK6gt9xvepX5Q,Benjamin Wheeler,Benjamin Wheeler,,,,,
79,https://youtu.be/s2Wjpvd0T_4,Benjamin Wheeler,Serge Jager,B,Dimir OmniTell,https://moxfield.com/decks/a1bzthno7kmSYPVPd9oxFw,Mardu Initiative,https://moxfield.com/decks/Dh84ETkn50GRRtVcuM66jQ,Benjamin Wheeler,Serge Jager,Serge Jager,,,,
80,https://youtu.be/jq9WE8-s7PU,Benjamin Wheeler,Serge Jager,A,Time Vault,https://moxfield.com/decks/JBqh_Qh9tUSOOsoM1nGfNg,Naya Equipment,https://moxfield.com/decks/A9PoT_fYIUanQGDnClAvEg,Benjamin Wheeler,Benjamin Wheeler,Benjamin Wheeler,,,,
81,https://youtu.be/t-FQJdkL2TM,Benjamin Wheeler,Serge Jager,A,Bant Equipment,https://moxfield.com/decks/WjabNhtYqk6oxnQWdfWlRw,Naya Equipment,https://moxfield.com/decks/A9PoT_fYIUanQGDnClAvEg,Serge Jager,Benjamin Wheeler,Serge Jager,Benjamin Wheeler,Serge Jager,,
82,https://youtu.be/X8u_2aS0yps,Nelson Salahub,Serge Jager,B,4c Scapeshift,https://moxfield.com/decks/axrAXhnpAUeRx_BmlKZbJQ,UW Workshop Weenie,https://moxfield.com/decks/4uP9xzph90ennjyFk5D7BA,Nelson Salahub,Nelson Salahub,Nelson Salahub,,,,
83,https://youtu.be/Jn6pUk-NYRY,Benjamin Wheeler,Serge Jager,B,Azorius Tempo,https://moxfield.com/decks/TWtQlYPBVUG9EN_dKpdY4Q,Azorius Workshop Weenie,https://moxfield.com/decks/4uP9xzph90ennjyFk5D7BA,Serge Jager,Benjamin Wheeler,Serge Jager,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,:),,,,,,,
,,,,,,,,,,,,,,,
,,,,,,>:) teamwork,,,,,,,,,
